persona_id,edad,genero,provincia,zona_urbana,nivel_educativo,preferencia_contacto,antiguedad_cliente,hijos,tamano_hogar,ocupacion,vivienda_propia,posee_auto,ingresos_mensuales,ahorro_mensual,deuda_tarjeta,cantidad_polizas,suma_asegurada_total,prima_promedio,cantidad_pagos,cuotas_cumplidas,cuotas_impagas,pagos_parciales,ratio_cuotas_cumplidas,monto_promedio_pago,cantidad_siniestros,monto_promedio_siniestro,dias_desde_ultimo_siniestro,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,tiene_accidentes,tiene_mascotas,tiene_riesgos,costo_mensual_total_seguro,deuda_frac_ingreso,ahorro_frac_ingreso,producto_objetivo,adquirio
26,71,1,Corrientes,1,primario,telefono,933,3,1,jubilado,1,1,463390.93,76386.54,66874.17,2,8743314.31,129626.7,41,37,0,4,0.902,10374.81,0,0.0,9999,1,1,0,0,0,0,0,21604.45,0.144,0.165,Salud,1
27,77,0,Mendoza,1,secundario,whatsapp,235,3,4,jubilado,1,0,501913.89,44708.8,11557.35,2,5425573.33,102947.67,6,4,0,2,0.667,6279.89,0,0.0,9999,0,1,1,0,0,0,0,17157.94,0.023,0.089,Salud,1
28,43,0,Santa Fe,1,secundario,email,654,1,4,comerciante,0,1,399580.84,18280.25,103554.35,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.259,0.046,Accidentes,1
29,68,1,Salta,1,primario,email,341,0,5,jubilado,1,1,576625.27,76106.0,131969.04,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.229,0.132,Auto,0
30,64,0,Misiones,1,secundario,whatsapp,1913,0,1,empleado,1,1,664623.34,45278.17,151319.29,2,8355276.41,125247.64,48,23,10,15,0.479,7141.78,0,0.0,9999,1,1,0,0,0,0,0,20874.61,0.228,0.068,Salud,0
31,66,0,Corrientes,0,primario,telefono,147,1,2,jubilado,1,0,489917.74,43750.29,62638.19,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.128,0.089,Hogar,0
32,80,1,CABA,1,secundario,email,100,2,2,jubilado,1,1,436740.71,40048.59,121699.55,1,2712620.76,150761.12,1,0,1,0,0.0,0.0,0,0.0,9999,1,0,0,0,0,0,0,12563.43,0.279,0.092,Ninguno,0
33,41,0,Misiones,1,universitario,telefono,916,0,2,profesional,1,0,3873853.86,335413.6,399563.12,3,7956720.68,87934.19,69,54,1,14,0.783,6990.32,2,1778506.8,432,0,1,0,1,0,1,0,21983.55,0.103,0.087,Accidentes,0
34,80,1,Salta,1,secundario,email,80,0,3,jubilado,0,0,190976.02,15444.53,47321.81,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.248,0.081,Ninguno,0
35,46,1,Corrientes,0,secundario,email,1588,0,4,empleado,1,1,1201407.71,167504.72,77774.62,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.065,0.139,Hogar,1
36,78,1,Santa Fe,1,terciario,email,163,2,5,jubilado,1,1,324530.07,35034.57,59479.38,2,6072311.5,88974.74,2,1,1,0,0.5,2716.72,0,0.0,9999,1,0,0,1,0,0,0,14829.12,0.183,0.108,Hogar,1
37,25,1,Salta,0,secundario,email,1289,0,1,autonomo,1,0,328851.84,26239.84,13058.59,2,4291095.69,67640.29,48,34,1,13,0.708,4774.29,0,0.0,9999,0,1,1,0,0,0,0,11273.38,0.04,0.08,Accidentes,1
38,29,1,La Pampa,1,primario,telefono,114,2,4,empleado,0,0,813989.07,103065.53,138510.55,3,10543502.97,120475.65,3,3,0,0,1.0,9969.54,3,1185723.21,-280,1,0,1,1,0,0,0,30118.91,0.17,0.127,Hogar,0
39,31,1,Entre Rios,1,universitario,telefono,1380,2,4,empleado,0,0,1016009.12,122791.41,65921.75,2,5552255.57,118277.69,48,44,0,4,0.917,9596.75,1,2526044.4,1123,1,0,1,0,0,0,0,19712.95,0.065,0.121,Salud,1
40,81,1,La Pampa,1,primario,email,1840,1,1,jubilado,1,1,431238.72,42359.0,133462.8,1,4578548.0,182206.28,24,15,2,7,0.625,12143.91,0,0.0,9999,1,0,0,0,0,0,0,15183.86,0.309,0.098,Ninguno,0
41,33,0,Corrientes,0,terciario,email,660,2,1,empleado,0,0,678569.29,75170.93,187171.11,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.276,0.111,Hogar,0
42,61,1,San Luis,1,universitario,email,1124,0,3,profesional,0,0,3181116.91,0.0,801862.42,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.252,0.0,Accidentes,1
43,58,0,Entre Rios,0,universitario,email,1591,0,1,profesional,1,0,2903339.52,430620.67,710949.33,1,2104206.38,143954.27,24,17,0,7,0.708,10455.8,0,0.0,9999,1,0,0,0,0,0,0,11996.19,0.245,0.148,Hogar,1
44,27,0,Tucuman,1,primario,telefono,1115,2,2,empleado,0,1,743793.5,35351.07,52645.61,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.071,0.048,Vida,0
45,54,1,Entre Rios,0,universitario,email,400,2,3,profesional,1,0,1386648.67,137196.56,252654.22,1,2819249.89,66261.63,1,1,0,0,1.0,5543.47,2,981216.28,11,0,0,0,0,0,0,1,5521.8,0.182,0.099,Hogar,1
46,48,1,Santa Fe,1,secundario,email,616,0,3,empleado,1,0,384656.2,30744.98,120473.93,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.313,0.08,Hogar,0
47,67,1,Santa Fe,1,secundario,email,466,2,4,jubilado,0,0,139944.24,0.0,19947.31,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.143,0.0,Ninguno,0
48,50,0,Chubut,1,primario,email,590,2,3,comerciante,0,1,772440.9,114314.11,239738.14,1,3046404.56,133313.7,17,9,4,4,0.529,7529.86,1,2295548.94,289,1,0,0,0,0,0,0,11109.48,0.31,0.148,Salud,1
49,55,0,Corrientes,0,universitario,telefono,501,1,3,empleado,1,0,1122254.14,97074.46,0.0,2,4916652.94,81167.92,18,15,1,2,0.833,7013.77,1,362110.78,439,0,0,1,1,0,0,0,13527.99,0.0,0.086,Hogar,0
50,31,0,Corrientes,1,universitario,whatsapp,987,0,2,profesional,0,1,1248156.17,154048.83,253100.72,2,8828690.91,167107.2,45,38,0,7,0.844,12685.93,1,2280504.9,313,1,0,0,1,0,0,0,27851.2,0.203,0.123,Riesgos,1
51,71,1,Rio Negro,1,secundario,email,662,0,1,jubilado,0,0,839157.12,48972.28,57027.93,2,12758352.05,173116.85,25,15,2,8,0.6,12348.66,1,1928623.57,118,1,0,0,1,0,0,0,28852.81,0.068,0.058,Hogar,1
52,76,0,Chubut,1,primario,whatsapp,898,0,3,autonomo,1,0,547654.73,22002.81,40686.5,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.074,0.04,Salud,0
53,34,1,La Pampa,1,primario,telefono,1056,3,3,comerciante,0,0,410638.91,45958.52,57906.3,2,2693618.24,42095.76,46,36,0,10,0.783,3144.64,0,0.0,9999,0,0,1,0,1,0,0,7015.96,0.141,0.112,Salud,0
54,82,1,Misiones,0,secundario,telefono,207,1,2,empleado,1,0,827547.42,82564.51,81929.0,1,4653807.51,117690.49,1,1,0,0,1.0,9695.11,0,0.0,9999,0,1,0,0,0,0,0,9807.54,0.099,0.1,Ninguno,0
55,36,1,Mendoza,1,terciario,whatsapp,546,0,4,autonomo,0,1,1143354.81,58882.8,0.0,1,2911265.6,213402.72,6,2,2,2,0.333,9465.22,0,0.0,9999,1,0,0,0,0,0,0,17783.56,0.0,0.052,Accidentes,0
56,76,0,Misiones,1,secundario,email,1733,0,1,jubilado,1,1,778684.53,93688.82,143976.05,2,8871019.01,165931.04,48,39,0,9,0.812,12564.87,0,0.0,9999,1,1,0,0,0,0,0,27655.17,0.185,0.12,Salud,1
57,72,0,Salta,1,secundario,telefono,1208,3,1,jubilado,0,0,210223.47,23790.38,13048.91,1,1086051.16,56188.61,24,19,0,5,0.792,4130.21,0,0.0,9999,1,0,0,0,0,0,0,4682.38,0.062,0.113,Ninguno,0
58,52,1,Mendoza,0,secundario,telefono,768,1,4,empleado,1,0,162185.51,28789.78,24603.24,1,806330.61,22444.92,24,19,0,5,0.792,1738.13,0,0.0,9999,0,0,0,0,0,0,1,1870.41,0.152,0.178,Vida,1
59,71,1,Cordoba,1,terciario,email,1426,2,4,empleado,0,1,1088751.39,40865.45,132312.23,2,8303975.63,143234.59,48,28,8,12,0.583,8905.77,0,0.0,9999,1,0,0,1,0,0,0,23872.43,0.122,0.038,Hogar,1
60,54,0,Neuquen,1,secundario,email,2023,2,1,empleado,1,0,799073.35,9348.77,181084.8,2,13389118.12,168299.24,48,27,11,10,0.562,9646.53,0,0.0,9999,1,1,0,0,0,0,0,28049.87,0.227,0.012,Salud,1
61,63,1,San Luis,0,secundario,whatsapp,1656,2,3,empleado,0,0,351413.47,14670.73,82401.99,2,2777814.01,61399.19,48,25,12,11,0.521,3160.59,0,0.0,9999,0,1,1,0,0,0,0,10233.2,0.234,0.042,Salud,0
62,64,1,San Luis,1,secundario,telefono,1818,0,4,empleado,1,0,399296.47,46254.91,112761.99,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.282,0.116,Hogar,0
63,36,0,Cordoba,1,primario,email,451,0,1,empleado,1,0,497152.57,0.0,7685.64,2,4170896.51,98567.05,11,6,4,1,0.545,4652.85,0,0.0,9999,1,0,0,0,1,0,0,16427.84,0.015,0.0,Hogar,0
64,53,1,Tucuman,1,secundario,telefono,260,2,2,empleado,0,1,751041.68,84979.15,0.0,2,10822779.66,170642.09,5,5,0,0,1.0,12567.87,0,0.0,9999,1,1,0,0,0,0,0,28440.35,0.0,0.113,Vida,1
65,42,0,Neuquen,1,primario,email,1978,0,4,empleado,1,1,883315.09,94613.34,38546.42,2,6982731.02,153343.91,48,43,0,5,0.896,12116.81,1,2648381.81,1715,1,0,0,1,0,0,0,25557.32,0.044,0.107,Hogar,0
66,60,0,CABA,1,secundario,telefono,1380,1,3,empleado,0,1,942750.98,59831.76,70951.09,2,7477083.86,142104.3,48,30,6,12,0.625,9276.9,0,0.0,9999,1,0,1,0,0,0,0,23684.05,0.075,0.063,Hogar,1
67,28,1,Chubut,0,universitario,email,1572,0,2,profesional,0,1,2501891.21,266008.97,573519.06,2,5842561.21,105465.33,48,37,1,10,0.771,7903.06,1,3186144.88,910,1,0,0,0,0,1,0,17577.56,0.229,0.106,Hogar,0
68,35,0,Mendoza,0,terciario,email,346,3,2,empleado,0,1,1076426.51,149948.88,302168.57,2,7275386.92,141261.81,5,3,1,1,0.6,13377.82,0,0.0,9999,1,0,1,0,0,0,0,23543.63,0.281,0.139,Hogar,0
69,39,1,Entre Rios,1,universitario,whatsapp,208,1,2,comerciante,1,1,1744619.37,287569.72,245615.53,1,8329697.67,197887.96,1,1,0,0,1.0,16565.27,1,6002900.4,12,1,0,0,0,0,0,0,16490.66,0.141,0.165,Hogar,1
70,38,1,San Luis,1,universitario,email,596,1,4,comerciante,1,0,554976.0,0.0,117999.17,2,3833587.41,99844.93,20,7,7,6,0.35,4716.73,1,604069.64,74,0,0,1,1,0,0,0,16640.82,0.213,0.0,Hogar,0
71,75,1,Entre Rios,1,secundario,email,139,3,5,jubilado,0,0,110831.98,21045.81,9965.04,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.09,0.19,Ninguno,0
72,28,0,Santa Fe,0,terciario,whatsapp,1078,1,2,autonomo,1,0,1010786.11,52524.22,134338.63,1,3804272.58,206191.82,24,12,7,5,0.5,10631.96,0,0.0,9999,1,0,0,0,0,0,0,17182.65,0.133,0.052,Accidentes,1
73,20,1,Salta,1,secundario,whatsapp,2140,0,2,estudiante,0,1,139539.29,10666.1,3656.13,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.026,0.076,Ninguno,0
74,67,1,Misiones,1,secundario,whatsapp,1068,0,2,empleado,1,1,642078.63,81729.4,176505.35,3,8527431.52,94085.15,70,51,1,18,0.729,6875.29,0,0.0,9999,0,1,1,1,0,0,0,23521.29,0.275,0.127,Auto,1
75,79,0,La Pampa,1,universitario,email,776,1,3,empleado,0,0,204523.83,29824.01,14410.34,1,450312.73,33564.96,20,19,0,1,0.95,2716.1,0,0.0,9999,0,0,1,0,0,0,0,2797.08,0.07,0.146,Ninguno,0
76,24,1,Mendoza,1,terciario,telefono,1389,0,1,estudiante,0,0,142661.6,15770.21,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.0,0.111,Mascotas,0
77,41,1,Tucuman,1,secundario,whatsapp,1233,0,5,empleado,0,0,889258.86,0.0,230821.89,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.26,0.0,Hogar,0
78,83,0,Buenos Aires,1,terciario,telefono,685,1,1,jubilado,0,0,739375.61,15217.16,75014.7,1,5405739.81,211471.78,19,13,2,4,0.684,14410.41,1,2509366.58,258,1,0,0,0,0,0,0,17622.65,0.101,0.021,Ninguno,0
79,49,0,Misiones,1,universitario,email,136,0,5,autonomo,1,1,581009.92,46280.06,24188.17,3,5022590.76,111677.71,5,5,0,0,1.0,8280.08,1,490591.28,4,1,0,1,0,1,0,0,27919.43,0.042,0.08,Hogar,0
80,58,0,Misiones,1,universitario,email,1453,2,3,autonomo,1,0,588942.48,15144.83,51858.84,1,2789347.76,72312.05,24,9,10,5,0.375,2982.74,0,0.0,9999,0,0,1,0,0,0,0,6026.0,0.088,0.026,Salud,1
81,34,1,CABA,1,terciario,whatsapp,383,2,2,desempleado,0,1,81521.15,613.64,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.0,0.008,Vida,0
82,33,0,Mendoza,1,terciario,email,656,1,2,empleado,0,1,383789.73,21437.48,90861.17,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.237,0.056,Vida,0
83,39,0,Cordoba,1,universitario,email,661,1,3,profesional,0,0,4516507.54,81592.21,1041609.12,3,9072507.95,86387.28,39,18,15,6,0.462,4820.17,1,2051109.97,377,1,0,1,0,0,1,0,21596.82,0.231,0.018,Salud,1
84,69,1,CABA,1,secundario,whatsapp,1887,2,1,jubilado,1,1,656992.51,33964.09,75913.38,1,7446263.97,157825.71,24,17,3,4,0.708,10863.77,0,0.0,9999,1,0,0,0,0,0,0,13152.14,0.116,0.052,Hogar,0
85,33,0,Santa Fe,1,universitario,email,1871,0,2,empleado,0,1,664079.66,70080.01,32173.51,2,7375621.83,115386.1,48,36,0,12,0.75,8423.18,2,770731.88,1504,1,0,0,0,1,0,0,19231.02,0.048,0.106,Salud,1
86,24,1,Corrientes,1,terciario,telefono,1182,1,1,autonomo,1,1,767844.94,36731.22,140319.72,3,13741439.31,139816.85,72,46,12,14,0.639,8513.25,2,2568864.69,712,1,1,0,1,0,0,0,34954.21,0.183,0.048,Accidentes,1
87,75,1,San Luis,0,primario,telefono,1175,0,3,jubilado,1,0,730605.65,65131.92,18603.48,1,2630486.1,119232.93,24,20,0,4,0.833,9339.92,0,0.0,9999,0,1,0,0,0,0,0,9936.08,0.025,0.089,Salud,0
88,58,0,Salta,0,secundario,whatsapp,1639,0,3,empleado,0,0,690462.5,0.0,20980.09,1,3061386.13,161743.39,24,17,2,5,0.708,11415.54,0,0.0,9999,1,0,0,0,0,0,0,13478.62,0.03,0.0,Hogar,0
89,21,1,Mendoza,0,terciario,telefono,1973,0,3,autonomo,0,1,817008.71,15955.01,292945.02,3,16951905.94,128130.79,72,40,18,14,0.556,6960.66,2,2232080.07,1495,1,0,1,1,0,0,0,32032.7,0.359,0.02,Riesgos,0
90,20,1,Entre Rios,1,secundario,email,1314,0,1,empleado,1,1,618720.79,25747.41,9899.88,2,11551140.67,141237.71,48,34,4,10,0.708,9948.03,0,0.0,9999,1,1,0,0,0,0,0,23539.62,0.016,0.042,Mascotas,1
91,40,1,Neuquen,1,universitario,email,1432,1,3,profesional,1,1,2608027.85,623797.91,249404.98,3,8090950.08,117599.97,72,66,0,6,0.917,9498.59,1,2423492.38,1083,1,1,1,0,0,0,0,29399.99,0.096,0.239,Riesgos,1
92,53,0,Salta,1,universitario,email,529,0,5,empleado,1,1,1066103.99,0.0,68430.84,1,5094736.36,181981.41,11,5,3,3,0.455,9652.14,0,0.0,9999,1,0,0,0,0,0,0,15165.12,0.064,0.0,Salud,1
93,35,0,Santa Fe,1,terciario,telefono,1010,0,2,profesional,0,1,2392643.46,473447.74,486077.5,2,9528857.89,119624.36,48,45,0,3,0.938,9685.51,0,0.0,9999,1,1,0,0,0,0,0,19937.39,0.203,0.198,Accidentes,1
94,54,1,Chubut,1,universitario,whatsapp,1199,2,5,profesional,1,0,954661.3,72487.63,140134.88,1,2374087.07,154717.65,24,11,2,11,0.458,9058.36,1,485871.03,828,1,0,0,0,0,0,0,12893.14,0.147,0.076,Salud,1
95,31,1,Corrientes,0,secundario,whatsapp,1195,2,2,autonomo,1,0,1230952.22,113018.17,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.0,0.092,Vida,1
96,69,1,Tucuman,1,primario,email,2140,1,4,jubilado,1,0,358699.62,9885.17,0.0,2,4674219.52,99113.29,48,30,5,13,0.625,6446.77,0,0.0,9999,1,1,0,0,0,0,0,16518.88,0.0,0.028,Mascotas,0
97,33,1,Cordoba,1,universitario,telefono,1286,0,3,autonomo,1,0,1935015.01,215805.68,21287.72,2,4225419.04,97280.94,48,40,0,8,0.833,7726.43,0,0.0,9999,1,0,0,0,1,0,0,16213.49,0.011,0.112,Salud,1
98,45,0,Neuquen,1,primario,telefono,365,2,1,comerciante,1,1,979459.74,108043.25,161845.27,2,12165129.74,170881.48,14,9,1,4,0.643,11448.33,0,0.0,9999,1,1,0,0,0,0,0,28480.25,0.165,0.11,Vida,1
99,29,1,La Pampa,1,secundario,email,1854,1,5,empleado,1,1,606922.03,51382.77,49594.16,1,2727696.33,139482.63,24,20,0,4,0.833,10945.53,0,0.0,9999,1,0,0,0,0,0,0,11623.55,0.082,0.085,Mascotas,1
100,26,1,Mendoza,1,universitario,telefono,159,0,2,profesional,0,0,2318856.61,112232.0,102070.44,3,8869342.85,137130.39,3,2,1,0,0.667,8155.28,1,2118711.72,-144,1,1,0,1,0,0,0,34282.6,0.044,0.048,Accidentes,1
101,68,0,Misiones,0,terciario,whatsapp,551,2,4,empleado,1,0,806176.51,71371.68,212772.48,3,13730603.74,118172.69,32,18,5,9,0.562,5524.94,5,2594754.48,55,1,1,0,0,1,0,0,29543.17,0.264,0.089,Salud,1
102,20,1,CABA,1,secundario,email,874,0,4,estudiante,1,1,190056.86,22632.76,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.0,0.119,Hogar,0
103,59,1,Rio Negro,1,secundario,email,1266,1,4,comerciante,1,1,971064.67,46495.53,410.2,2,6807365.35,149691.81,48,31,4,13,0.646,10211.1,1,1762073.0,723,1,0,0,1,0,0,0,24948.63,0.0,0.048,Accidentes,0
104,46,1,La Pampa,1,secundario,email,621,0,1,empleado,1,1,855047.64,0.0,66900.43,2,11512861.65,138541.07,25,14,6,5,0.56,8757.7,0,0.0,9999,1,1,0,0,0,0,0,23090.18,0.078,0.0,Salud,1
105,66,0,San Luis,1,secundario,whatsapp,191,1,4,empleado,1,0,1083591.04,62412.71,136568.38,2,5576248.52,72090.56,7,5,2,0,0.714,3703.94,1,2111300.36,-54,0,0,1,0,0,0,1,12015.09,0.126,0.058,Salud,1
106,44,1,Neuquen,1,secundario,email,1010,0,1,empleado,0,0,606053.61,57629.06,122973.02,1,1533829.47,66731.27,24,17,0,7,0.708,5151.53,1,1018838.28,775,0,0,0,0,0,0,1,5560.94,0.203,0.095,Hogar,1
107,46,1,Mendoza,1,terciario,telefono,96,0,3,autonomo,1,0,711223.1,24896.14,66051.98,2,7627251.66,130116.14,2,1,1,0,0.5,3947.41,2,1633276.26,-291,1,1,0,0,0,0,0,21686.02,0.093,0.035,Accidentes,1
108,63,1,Misiones,1,universitario,email,603,1,1,empleado,1,0,815242.42,85239.64,144385.36,1,1867249.44,81912.98,17,12,0,5,0.706,6124.91,0,0.0,9999,0,0,1,0,0,0,0,6826.08,0.177,0.105,Hogar,0
