edad,genero,provincia,nivel_educativo,ocupacion,hijos,vivienda_propia,posee_auto,antiguedad_cliente,cantidad_polizas,cantidad_pagos,cuotas_cumplidas,cuotas_impagas,pagos_parciales,ratio_cuotas_cumplidas,monto_promedio_pago,cantidad_siniestros,monto_promedio_siniestro,dias_desde_ultimo_siniestro,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,costo_mensual_total_seguro,suma_asegurada_total,prima_promedio,adquirio,producto_objetivo
53,femenino,Jujuy,universitario,autonomo,2,0,1,46,3,18,9,0,0,0.5,8092,1,144954,320,1,0,0,1,4568,3987379,4568,1,vida
61,masculino,Santa Cruz,secundario,autonomo,1,1,0,63,0,23,14,9,1,0.61,42606,1,64135,213,0,1,0,0,3076,1303789,3076,0,ninguno
64,masculino,Mendoza,secundario,autonomo,1,1,1,75,3,13,3,0,0,0.23,33314,0,0,999,1,0,1,1,11476,4009163,11476,1,hogar
66,femenino,Neuquén,terciario,desocupado,1,1,1,42,0,17,0,17,1,0.0,37210,0,0,999,1,0,0,1,5188,2293493,5188,0,ninguno
35,masculino,Río Negro,terciario,empleado,1,1,0,20,1,15,8,0,0,0.53,13984,0,0,999,0,0,1,0,0,4288963,2094,1,salud
57,masculino,La Rioja,terciario,empleado,2,1,0,61,3,7,4,0,0,0.57,24991,0,0,999,0,1,1,0,10150,647745,10150,1,auto
50,femenino,Corrientes,primario,autonomo,1,0,0,50,3,14,2,0,0,0.14,26205,0,0,999,0,0,1,0,6946,1888509,6946,1,hogar
58,femenino,Río Negro,secundario,autonomo,1,0,1,76,3,13,1,0,0,0.08,8389,0,0,999,1,0,1,1,18618,2097690,18618,1,hogar
27,masculino,La Pampa,secundario,autonomo,2,0,0,109,2,8,0,0,0,0.0,40618,0,0,999,0,0,1,0,11540,2798354,11540,1,salud
55,masculino,Santiago del Estero,terciario,profesional,0,0,1,101,3,7,3,0,0,0.43,31309,0,0,999,1,0,1,0,10053,4900372,10053,1,salud
49,masculino,Entre Ríos,terciario,autonomo,1,0,1,5,3,22,5,0,0,0.23,38529,0,0,999,0,0,1,0,12550,1564641,12550,0,ninguno
67,femenino,San Juan,universitario,profesional,3,0,1,81,1,10,9,0,0,0.9,9512,0,0,999,1,0,0,1,6738,2802743,6738,1,vida
67,femenino,La Rioja,universitario,empleado,0,1,0,111,3,14,2,0,0,0.14,31515,0,0,999,0,1,1,1,17001,3310909,17001,1,auto
29,masculino,Catamarca,secundario,autonomo,2,1,0,17,0,23,14,0,0,0.61,10664,0,0,999,0,1,1,0,23802,4388832,23802,1,auto
64,femenino,Neuquén,secundario,empleado,2,1,1,94,1,9,2,0,0,0.22,47402,0,0,999,0,1,1,1,17919,1768748,17919,1,auto
49,masculino,Chaco,universitario,autonomo,3,1,1,56,0,13,2,0,0,0.15,45133,1,65414,377,1,0,0,1,6344,3345653,6344,1,vida
42,masculino,La Pampa,universitario,empleado,3,1,1,71,1,20,11,0,0,0.55,8712,0,0,999,0,1,1,1,25212,643492,25212,1,auto
51,femenino,Chubut,primario,autonomo,0,1,0,4,0,8,8,0,0,1.0,21422,0,0,999,0,1,0,1,9688,1886652,9688,0,ninguno
64,femenino,Formosa,terciario,autonomo,0,0,0,67,2,23,17,0,0,0.74,12965,1,47740,874,1,0,0,0,0,4142461,5689,1,salud
25,femenino,San Luis,primario,autonomo,3,1,1,72,2,7,2,0,0,0.29,15750,0,0,999,1,0,1,0,10866,2042549,10866,1,salud
62,femenino,Santa Cruz,universitario,profesional,2,0,1,78,2,14,10,0,0,0.71,18947,1,136219,796,1,0,1,1,14970,3177747,14970,1,hogar
56,femenino,La Rioja,terciario,profesional,0,1,0,21,1,10,3,0,0,0.3,38708,1,115251,264,0,1,0,0,12266,4114705,12266,1,salud
40,masculino,Misiones,terciario,autonomo,3,1,1,97,1,18,11,0,0,0.61,32793,1,173577,650,1,1,1,0,11056,4975557,11056,1,salud
30,femenino,Tucumán,universitario,empleado,2,1,0,12,3,8,4,4,1,0.5,12957,0,0,999,0,0,0,1,13584,4619214,13584,0,ninguno
19,femenino,Chaco,secundario,profesional,3,0,0,91,0,10,10,0,0,1.0,27102,0,0,999,0,0,1,1,8468,943604,8468,1,auto
18,masculino,Jujuy,universitario,profesional,0,0,0,48,0,8,6,0,0,0.75,25169,0,0,999,0,0,1,1,5368,3249580,5368,1,hogar
51,masculino,San Juan,universitario,autonomo,3,1,1,109,0,13,10,0,0,0.77,7787,0,0,999,1,1,0,0,13256,2127376,13256,1,vida
31,femenino,Neuquén,primario,autonomo,1,1,0,54,2,19,9,0,0,0.47,47719,0,0,999,0,0,1,0,5491,2731737,5491,1,hogar
25,masculino,Salta,universitario,autonomo,1,1,0,35,2,19,19,0,0,1.0,47864,0,0,999,0,1,1,0,12730,963001,12730,1,salud
41,femenino,La Rioja,universitario,autonomo,0,0,0,49,0,16,16,0,0,1.0,9944,2,72853,351,0,0,0,1,7182,3852252,7182,0,ninguno
45,masculino,Entre Ríos,universitario,profesional,3,1,1,57,0,18,17,0,0,0.94,11476,1,22382,541,0,0,1,1,18948,2499482,18948,1,hogar
40,masculino,San Luis,secundario,desocupado,0,1,0,41,3,18,17,0,0,0.94,28450,0,0,999,0,1,1,0,15411,1295415,15411,0,ninguno
44,femenino,La Rioja,universitario,desocupado,2,0,1,73,2,8,4,0,0,0.5,15498,0,0,999,1,0,1,0,15282,4597824,15282,0,ninguno
43,masculino,Jujuy,terciario,empleado,2,0,0,85,1,18,15,0,0,0.83,19536,0,0,999,0,0,0,1,5109,1959410,5109,1,vida
18,masculino,Chaco,primario,empleado,2,0,1,55,3,7,1,6,1,0.14,37160,0,0,999,1,0,1,1,29108,1419284,29108,0,ninguno
46,masculino,Catamarca,secundario,autonomo,3,0,1,10,3,13,12,0,0,0.92,22913,0,0,999,1,0,0,0,5531,1254380,5531,0,ninguno
43,femenino,Santiago del Estero,primario,profesional,0,1,0,36,0,9,3,0,0,0.33,22241,1,51346,310,0,0,1,0,10792,2437916,10792,1,hogar
36,masculino,Santa Fe,secundario,empleado,1,0,1,46,1,22,1,0,0,0.05,26863,0,0,999,0,0,0,1,12652,1105109,12652,1,vida
36,femenino,Salta,universitario,desocupado,1,0,1,11,1,23,6,0,0,0.26,40179,0,0,999,1,0,1,1,8286,2034227,8286,0,ninguno
26,masculino,Buenos Aires,universitario,desocupado,2,1,1,115,2,11,5,6,1,0.45,27766,0,0,999,0,1,0,1,4294,3335743,4294,0,ninguno
39,masculino,Salta,secundario,desocupado,3,1,1,93,1,13,5,0,0,0.38,7768,1,140938,197,1,1,1,0,11100,2652259,11100,0,ninguno
25,masculino,Neuquén,primario,profesional,0,0,1,55,2,8,2,0,0,0.25,15093,0,0,999,1,0,0,1,12128,2285910,12128,1,hogar
65,femenino,Chubut,secundario,profesional,3,1,1,91,0,9,8,0,0,0.89,24971,0,0,999,0,1,0,1,6228,2849465,6228,1,vida
43,femenino,Tucumán,terciario,autonomo,3,0,0,38,1,9,6,0,0,0.67,23909,0,0,999,0,0,1,1,7876,3215366,7876,1,hogar
37,femenino,Santa Fe,terciario,profesional,2,0,1,51,1,23,13,0,0,0.57,45701,0,0,999,0,0,1,0,5964,681789,5964,1,auto
41,masculino,Neuquén,terciario,empleado,2,0,0,48,1,20,14,0,0,0.7,12141,1,36225,93,0,0,1,0,4382,4774015,4382,1,hogar
29,masculino,Neuquén,terciario,desocupado,2,1,0,61,1,6,5,0,0,0.83,16752,0,0,999,0,0,1,1,4590,4426516,4590,0,ninguno
25,masculino,Tucumán,universitario,desocupado,1,1,1,72,1,8,5,0,0,0.62,45747,0,0,999,1,0,0,1,4682,1280641,4682,0,ninguno
41,masculino,La Pampa,primario,profesional,3,1,1,37,3,17,17,0,0,1.0,20282,0,0,999,1,1,0,0,9819,3284372,9819,1,vida
24,masculino,Buenos Aires,primario,profesional,3,1,1,14,0,20,20,0,0,1.0,29226,0,0,999,1,0,0,1,12450,4615362,12450,1,vida
44,femenino,Chubut,secundario,autonomo,2,1,0,91,1,6,5,0,0,0.83,9257,0,0,999,0,1,0,1,11946,1067476,11946,1,vida
51,femenino,Chaco,terciario,profesional,3,0,0,26,0,21,3,0,0,0.14,47919,0,0,999,0,0,1,0,6960,2816374,6960,1,auto
53,masculino,Mendoza,secundario,desocupado,1,1,0,16,2,7,3,0,0,0.43,29813,0,0,999,0,0,0,1,14622,3427971,14622,0,ninguno
60,masculino,Entre Ríos,terciario,empleado,2,0,0,62,2,17,15,0,0,0.88,49289,0,0,999,0,0,1,1,6746,2705349,6746,1,auto
45,masculino,San Juan,terciario,autonomo,0,1,1,110,1,19,4,0,0,0.21,45724,0,0,999,1,0,0,0,0,3604379,6374,1,salud
62,masculino,Santa Fe,secundario,empleado,2,0,0,46,3,10,3,0,0,0.3,43889,0,0,999,0,0,1,1,19227,1571984,19227,1,auto
52,femenino,Santiago del Estero,primario,autonomo,1,1,1,65,3,19,3,0,0,0.16,7763,0,0,999,0,1,1,0,10482,1827654,10482,1,auto
25,femenino,Tucumán,primario,autonomo,2,0,0,21,0,10,5,0,0,0.5,44887,1,166968,475,0,0,1,0,7208,1275435,7208,1,auto
49,masculino,Chaco,universitario,autonomo,3,1,1,56,0,13,2,0,0,0.15,45133,1,65414,377,1,0,0,1,6344,3345653,6344,1,vida
67,femenino,Mendoza,universitario,autonomo,2,0,1,19,0,16,11,0,0,0.69,38243,0,0,999,0,0,1,1,7452,4963158,7452,1,auto
55,femenino,Buenos Aires,secundario,desocupado,3,0,1,1,3,10,2,0,0,0.2,37419,0,0,999,1,0,1,1,15816,3893757,15816,0,ninguno
62,masculino,Jujuy,secundario,profesional,3,0,0,13,3,15,0,0,0,0.0,8407,0,0,999,0,0,1,1,22998,4550807,22998,1,hogar
50,masculino,Tierra del Fuego,terciario,profesional,0,0,0,62,2,21,11,0,0,0.52,23361,0,0,999,0,0,0,1,6485,4156299,6485,1,hogar
63,masculino,Tucumán,primario,autonomo,2,0,1,52,3,19,3,0,0,0.16,12493,0,0,999,1,0,1,1,19344,2370942,19344,1,hogar
47,masculino,Buenos Aires,universitario,empleado,1,1,0,51,2,15,11,4,1,0.73,13915,0,0,999,0,1,0,0,12594,4131548,12594,0,ninguno
68,masculino,Tierra del Fuego,secundario,profesional,2,1,0,3,2,19,10,0,0,0.53,43638,0,0,999,0,1,1,1,16035,1130265,16035,0,ninguno
61,masculino,Santa Cruz,universitario,profesional,2,1,0,35,2,13,10,0,0,0.77,41047,0,0,999,0,0,1,1,17421,2717939,17421,1,auto
34,masculino,Río Negro,secundario,empleado,3,0,0,83,3,20,8,0,0,0.4,36923,0,0,999,0,0,1,0,13320,2126528,13320,1,auto
21,femenino,Chubut,primario,empleado,3,1,0,48,1,8,3,0,0,0.38,43230,0,0,999,0,0,1,1,16374,4031145,16374,1,hogar
41,femenino,Corrientes,primario,profesional,3,0,1,95,3,21,16,0,0,0.76,28088,0,0,999,0,0,0,0,4654,2375390,4654,1,vida
32,masculino,Salta,primario,desocupado,2,0,0,91,3,20,6,0,0,0.3,22006,0,0,999,0,0,1,0,5385,3262734,5385,0,ninguno
58,femenino,Río Negro,secundario,autonomo,1,0,1,76,3,13,1,0,0,0.08,8389,0,0,999,1,0,1,1,18618,2097690,18618,1,hogar
60,masculino,Entre Ríos,terciario,empleado,2,0,0,62,2,17,15,0,0,0.88,49289,0,0,999,0,0,1,1,6746,2705349,6746,1,auto
37,masculino,Entre Ríos,universitario,desocupado,3,1,1,48,3,17,8,9,0,0.47,42616,0,0,999,0,0,1,1,6074,1990194,6074,0,ninguno
18,masculino,Santiago del Estero,terciario,autonomo,1,0,0,1,1,18,9,0,0,0.5,17602,0,0,999,0,0,1,1,12400,1267876,12400,0,ninguno
54,masculino,Santa Cruz,universitario,empleado,3,0,0,103,0,18,7,0,0,0.39,5106,0,0,999,0,0,0,1,4577,4280895,4577,1,vida
33,femenino,Santa Fe,primario,empleado,1,0,1,54,2,20,5,0,0,0.25,11506,0,0,999,1,0,0,1,9222,3733095,9222,1,vida
55,masculino,Santa Fe,terciario,desocupado,3,0,0,28,0,18,17,0,0,0.94,43886,0,0,999,0,0,1,1,14074,4172689,14074,0,ninguno
32,masculino,Tucumán,secundario,profesional,1,1,0,26,1,21,3,0,0,0.14,28916,0,0,999,0,0,1,0,14922,2778214,14922,1,auto
58,masculino,Tucumán,secundario,autonomo,1,0,0,57,0,21,7,0,0,0.33,5432,1,91947,78,0,0,1,1,7502,2782373,7502,1,auto
45,masculino,San Luis,primario,profesional,0,1,0,96,0,15,11,0,0,0.73,38065,0,0,999,0,0,1,0,2844,4728087,2844,1,hogar
62,masculino,Santa Fe,secundario,empleado,2,0,0,46,3,10,3,0,0,0.3,43889,0,0,999,0,0,1,1,19227,1571984,19227,1,auto
62,masculino,Mendoza,primario,profesional,1,1,0,107,3,13,0,0,0,0.0,31204,0,0,999,0,1,1,0,20556,4253206,20556,1,auto
49,masculino,Misiones,primario,empleado,2,0,1,109,1,9,7,0,0,0.78,12843,0,0,999,1,0,1,0,14944,903322,14944,1,hogar
47,femenino,La Rioja,universitario,autonomo,2,0,1,57,0,21,14,0,0,0.67,20254,0,0,999,1,0,0,1,17943,4600673,17943,1,vida
68,femenino,Catamarca,terciario,desocupado,1,0,0,7,0,19,14,5,0,0.74,12529,0,0,999,0,0,0,1,10568,4838748,10568,0,ninguno
31,femenino,Salta,secundario,empleado,3,0,0,55,0,20,4,0,0,0.2,46598,1,171623,361,0,0,1,0,0,526296,2104,1,salud
25,femenino,Santiago del Estero,universitario,desocupado,3,1,1,118,3,18,14,0,0,0.78,32328,0,0,999,1,0,0,1,14442,3821613,14442,0,ninguno
22,femenino,Neuquén,terciario,desocupado,0,0,1,31,3,8,5,0,0,0.62,42006,1,123955,854,1,0,1,1,21484,756094,21484,0,ninguno
36,femenino,Córdoba,primario,desocupado,2,0,1,6,1,16,11,0,0,0.69,35505,0,0,999,1,0,0,1,11058,3092859,11058,0,ninguno
58,masculino,Chaco,primario,autonomo,3,0,0,78,0,17,1,0,0,0.06,12820,0,0,999,0,0,1,0,15430,1689297,15430,1,auto
34,masculino,Catamarca,secundario,profesional,2,0,1,54,2,21,14,0,0,0.67,20096,0,0,999,0,0,1,0,9504,4456558,9504,1,salud
63,masculino,Tucumán,primario,autonomo,2,0,1,52,3,19,3,0,0,0.16,12493,0,0,999,1,0,1,1,19344,2370942,19344,1,hogar
44,femenino,Chubut,secundario,autonomo,2,1,0,91,1,6,5,0,0,0.83,9257,0,0,999,0,1,0,1,11946,1067476,11946,1,vida
63,femenino,Buenos Aires,universitario,profesional,1,1,1,62,2,13,12,1,0,0.92,48298,1,68924,335,1,0,1,0,7068,691896,7068,0,ninguno
33,masculino,Corrientes,primario,autonomo,3,0,0,110,2,11,5,0,0,0.45,46115,0,0,999,0,0,1,0,3812,973006,3812,1,salud
58,femenino,Córdoba,universitario,profesional,0,0,0,74,3,23,18,0,0,0.78,26574,0,0,999,0,0,0,1,4126,4231624,4126,1,auto
22,masculino,La Pampa,primario,desocupado,2,0,0,82,0,12,0,0,0,0.0,10670,0,0,999,0,0,1,0,0,4877987,5992,0,ninguno
25,masculino,Entre Ríos,universitario,desocupado,1,0,1,76,1,18,17,0,0,0.94,16561,0,0,999,0,0,1,0,0,4835972,5325,0,ninguno
41,femenino,La Rioja,secundario,empleado,2,0,1,5,2,21,15,6,1,0.71,22633,0,0,999,1,0,0,1,16668,4407911,16668,0,ninguno
24,femenino,Santa Fe,secundario,autonomo,3,1,1,57,1,17,15,0,0,0.88,38487,0,0,999,1,0,0,1,19737,1998339,19737,1,vida
53,femenino,Chaco,secundario,desocupado,1,0,1,104,3,7,5,0,0,0.71,16653,0,0,999,0,0,1,0,11686,771836,11686,0,ninguno
28,femenino,Mendoza,universitario,profesional,3,1,1,86,0,18,2,0,0,0.11,22499,1,169332,253,0,1,0,0,4680,609446,4680,1,vida
21,masculino,San Juan,universitario,desocupado,1,0,0,83,2,14,4,0,0,0.29,35413,0,0,999,0,0,0,1,5885,531541,5885,0,ninguno
57,masculino,Neuquén,universitario,autonomo,0,1,0,59,1,17,9,0,0,0.53,48307,0,0,999,0,1,1,0,14910,3935088,14910,1,salud
60,femenino,Salta,terciario,desocupado,2,0,0,14,0,16,3,0,0,0.19,44191,0,0,999,0,0,0,1,3173,4018652,3173,0,ninguno
27,femenino,Río Negro,secundario,desocupado,1,0,0,88,1,13,0,0,0,0.0,43526,2,170086,658,0,0,1,0,6334,3948196,6334,0,ninguno
60,masculino,Entre Ríos,terciario,empleado,2,0,0,62,2,17,15,0,0,0.88,49289,0,0,999,0,0,1,1,6746,2705349,6746,1,auto
49,masculino,Misiones,primario,empleado,2,0,1,109,1,9,7,0,0,0.78,12843,0,0,999,1,0,1,0,14944,903322,14944,1,hogar
32,femenino,Tucumán,universitario,autonomo,1,1,1,69,0,8,7,1,1,0.88,33991,0,0,999,1,1,1,1,23728,1087426,23728,0,ninguno
28,femenino,Tierra del Fuego,universitario,empleado,2,0,1,42,1,11,5,0,0,0.45,13382,0,0,999,0,0,1,1,12706,1039353,12706,1,auto
39,masculino,Entre Ríos,universitario,empleado,0,0,0,17,1,13,9,0,0,0.69,10004,0,0,999,0,0,0,0,7125,1537140,7125,1,hogar
22,femenino,Formosa,universitario,desocupado,0,0,0,78,2,19,7,0,0,0.37,49518,0,0,999,0,0,0,1,13564,3360597,13564,0,ninguno
38,masculino,Entre Ríos,universitario,autonomo,3,0,0,59,0,21,19,0,0,0.9,39721,0,0,999,0,0,1,0,13078,3636938,13078,1,salud
45,masculino,San Luis,primario,profesional,0,1,0,96,0,15,11,0,0,0.73,38065,0,0,999,0,0,1,0,2844,4728087,2844,1,hogar
26,femenino,Santa Fe,terciario,profesional,1,0,0,96,0,7,7,0,0,1.0,26267,0,0,999,0,0,0,1,13346,3150432,13346,1,vida
69,masculino,San Juan,terciario,desocupado,1,0,0,107,1,6,4,0,0,0.67,13080,1,26630,580,0,0,1,0,0,914399,4868,0,ninguno
39,masculino,Salta,terciario,autonomo,3,0,0,15,0,6,5,1,1,0.83,41862,0,0,999,0,0,0,1,3332,2328864,3332,0,ninguno
43,femenino,Neuquén,universitario,desocupado,0,1,0,118,3,13,7,0,0,0.54,20052,0,0,999,0,1,1,1,17550,4318362,17550,0,ninguno
60,masculino,Santiago del Estero,universitario,desocupado,0,1,0,21,3,23,0,0,0,0.0,35682,0,0,999,0,0,0,1,3422,1956081,3422,0,ninguno
60,femenino,Catamarca,secundario,desocupado,3,0,1,83,2,16,10,0,0,0.62,7712,1,192466,790,1,0,0,0,2483,4951774,2483,0,ninguno
50,femenino,La Rioja,terciario,profesional,0,0,0,103,3,15,8,0,0,0.53,24642,0,0,999,0,0,1,1,12321,1556504,12321,1,auto
24,femenino,Mendoza,secundario,profesional,0,1,0,50,3,18,14,0,0,0.78,25566,0,0,999,0,0,0,1,4588,2626869,4588,1,auto
40,masculino,Buenos Aires,secundario,autonomo,2,0,1,74,1,9,5,0,0,0.56,24450,0,0,999,1,0,0,0,9360,635513,9360,1,vida
57,masculino,La Rioja,primario,profesional,2,0,1,97,3,21,8,0,0,0.38,47974,0,0,999,1,0,1,1,23480,3953695,23480,1,hogar
41,masculino,San Luis,universitario,profesional,2,1,0,32,2,11,7,0,0,0.64,38660,0,0,999,0,0,1,1,13128,2175843,13128,1,auto
33,masculino,Santiago del Estero,terciario,desocupado,2,0,0,68,2,23,19,0,0,0.83,42528,0,0,999,0,0,0,1,3897,719356,3897,0,ninguno
56,masculino,Formosa,primario,empleado,3,0,0,18,0,6,4,0,0,0.67,15165,0,0,999,0,0,1,0,0,1118821,2994,1,hogar
56,masculino,Córdoba,secundario,profesional,2,0,1,59,2,20,9,0,0,0.45,7654,0,0,999,1,0,1,1,25716,4200568,25716,1,hogar
49,femenino,La Pampa,secundario,autonomo,0,1,0,101,1,11,7,4,0,0.64,17734,0,0,999,0,0,1,0,5722,4380323,5722,0,ninguno
65,femenino,Mendoza,terciario,autonomo,2,1,1,39,0,11,7,0,0,0.64,32751,0,0,999,0,1,1,0,13131,3417199,13131,1,salud
62,masculino,Mendoza,primario,profesional,1,1,0,107,3,13,0,0,0,0.0,31204,0,0,999,0,1,1,0,20556,4253206,20556,1,auto
45,femenino,Neuquén,terciario,profesional,0,0,1,10,1,11,8,0,0,0.73,37875,0,0,999,0,0,1,0,3626,1639391,3626,0,ninguno
54,masculino,Santa Fe,universitario,autonomo,0,1,1,82,3,7,4,0,0,0.57,25025,0,0,999,0,0,0,1,7307,4300315,7307,1,auto
38,masculino,Jujuy,secundario,autonomo,2,1,0,76,1,18,6,0,0,0.33,28854,1,124601,561,0,0,1,0,0,4344886,2873,1,auto
39,femenino,San Juan,secundario,empleado,3,1,1,28,3,8,7,0,0,0.88,47422,1,122484,803,1,1,1,0,11301,3150196,11301,1,salud
21,femenino,Jujuy,primario,autonomo,2,0,1,19,2,20,13,7,0,0.65,27301,0,0,999,1,0,0,1,15976,1147272,15976,0,ninguno
25,masculino,Salta,terciario,profesional,0,1,0,6,2,19,10,9,0,0.53,15885,1,86558,789,0,1,0,1,12111,3064660,12111,0,ninguno
32,masculino,Neuquén,primario,desocupado,3,0,0,72,1,13,0,0,0,0.0,9959,1,70802,718,0,0,1,0,6490,2306129,6490,0,ninguno
22,masculino,Mendoza,secundario,empleado,1,1,1,40,0,21,15,0,0,0.71,22842,0,0,999,1,1,1,0,20802,3226217,20802,1,salud
67,masculino,Neuquén,primario,profesional,0,1,0,57,2,20,10,0,0,0.5,8249,0,0,999,0,1,0,1,22239,4706419,22239,1,auto
18,femenino,Buenos Aires,universitario,autonomo,3,0,1,4,0,10,0,10,0,0.0,48794,1,148544,128,1,0,0,0,6787,2259144,6787,0,ninguno
63,masculino,Chubut,secundario,desocupado,1,1,1,100,3,6,0,0,0,0.0,20896,0,0,999,1,1,1,0,18044,3711407,18044,0,ninguno
