edad,genero,hijos,vivienda_propia,posee_auto,antiguedad_cliente,cantidad_polizas,cuotas_impagas,costo_mensual_total_seguro,suma_asegurada_total,prima_promedio,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,cantidad_siniestros,monto_promedio_siniestros,dias_desde_ultimo_siniestro,ocupacion,estado_civil,adquirio,producto_objetivo,provincia
33,masculino,0,0,1,4,3.0,0,406148.0,29254750.0,135382.66666666666,1,0,1,1,0,0,999,autónomo,casado,1,vida,Buenos Aires
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
62,masculino,3,0,1,106,1.0,0,250920.0,13298760.0,250920.0,0,0,0,1,0,0,999,autónomo,divorciado,1,auto,Córdoba
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
63,masculino,1,1,1,105,2.0,0,316286.0,38628248.0,158143.0,1,0,1,0,0,0,999,empleado,casado,1,hogar,Buenos Aires
65,femenino,1,1,0,2,2.0,1,357854.0,38992329.0,178927.0,0,1,0,1,0,0,999,jubilado,soltero,0,ninguno,Resto
25,masculino,0,1,1,59,1.0,0,160357.0,15714986.0,160357.0,1,0,0,0,0,0,999,estudiante,casado,1,salud,Buenos Aires
28,femenino,1,1,1,4,2.0,1,310607.0,33287610.0,155303.5,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Tucumán
36,femenino,1,1,0,2,2.0,1,192310.0,19174616.0,96155.0,1,0,0,1,0,0,999,empleado,casado,0,ninguno,Buenos Aires
30,femenino,3,1,0,119,1.0,0,123776.0,7302784.0,123776.0,0,1,0,0,0,0,999,empresario,soltero,1,salud,Entre Ríos
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
28,femenino,0,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
28,femenino,1,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
34,masculino,1,0,1,2,2.0,1,504150.0,74489120.0,252075.0,0,1,0,1,2,0,366,empleado,divorciado,0,ninguno,Resto
28,femenino,1,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
42,masculino,1,1,1,4,1.0,1,173097.0,17309700.0,173097.0,0,1,0,0,0,0,999,empleado,casado,0,ninguno,Entre Ríos
54,femenino,1,1,1,2,1.0,1,163192.0,23336456.0,163192.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
30,femenino,3,0,0,5,2.0,1,315063.0,32080194.0,157531.5,1,0,0,1,0,0,999,empleado,casado,0,ninguno,Buenos Aires
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
25,femenino,0,0,1,60,2.0,0,387234.0,43587048.0,193617.0,1,0,0,1,0,0,999,estudiante,casado,1,vida,Córdoba
19,masculino,0,1,1,2,1.0,1,374029.0,39647074.0,374029.0,0,1,0,0,1,0,730,estudiante,soltero,0,ninguno,Resto
32,femenino,2,0,0,1,2.0,0,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,1,vida,Buenos Aires
34,masculino,0,1,0,83,1.0,0,230492.0,26737072.0,230492.0,0,1,0,0,0,0,999,empleado,casado,1,salud,Resto
24,masculino,0,1,0,48,2.0,0,548538.0,70713288.0,274269.0,0,1,1,0,0,0,999,estudiante,soltero,1,salud,Buenos Aires
68,femenino,3,1,1,92,1.0,0,284811.0,31329210.0,284811.0,0,0,0,1,0,0,999,empleado,casado,1,auto,Santa Fe
46,masculino,2,1,1,3,2.0,1,433248.0,49175881.0,216624.0,0,1,1,0,1,0,368,empresario,soltero,0,ninguno,Resto
57,femenino,3,1,1,5,3.0,1,450539.0,58898391.0,150179.66666666666,1,1,1,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
54,femenino,0,1,0,98,1.0,3,170230.0,15831390.0,170230.0,0,0,0,1,0,0,999,autónomo,soltero,1,hogar,Córdoba
47,masculino,1,1,1,17,1.0,0,178556.0,8927800.0,178556.0,1,0,0,0,0,0,999,empleado,soltero,1,salud,Resto
66,masculino,0,1,1,28,2.0,3,443901.0,56003358.0,221950.5,0,0,1,1,0,0,999,jubilado,viudo,1,hogar,Buenos Aires
18,masculino,0,1,1,12,1.0,0,95945.0,6908040.0,95945.0,0,0,0,1,0,0,999,estudiante,soltero,1,hogar,Buenos Aires
32,femenino,1,0,0,1,2.0,0,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,empleado,casado,1,vida,Resto
65,masculino,0,0,0,75,2.0,2,324979.0,36834641.0,162489.5,1,0,0,1,0,0,999,jubilado,soltero,1,vida,Buenos Aires
42,masculino,1,1,1,4,1.0,1,173097.0,17309700.0,173097.0,0,1,0,0,0,0,999,empleado,casado,0,ninguno,Entre Ríos
30,masculino,0,1,0,37,2.0,0,473011.0,53171080.0,236505.5,0,1,0,1,0,0,999,empleado,casado,1,vida,Buenos Aires
46,femenino,3,1,1,7,1.0,0,262440.0,31755240.0,262440.0,0,0,0,1,0,0,999,empleado,casado,1,auto,Buenos Aires
54,femenino,1,1,1,2,1.0,1,163192.0,23336456.0,163192.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
59,femenino,2,1,0,98,2.0,0,531461.0,55514862.0,265730.5,0,0,1,1,1,478251,346,autónomo,viudo,1,hogar,Buenos Aires
32,femenino,2,0,0,1,2.0,1,350541.0,42938129.0,175270.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Buenos Aires
29,femenino,0,1,1,45,1.0,0,231777.0,12747735.0,231777.0,1,0,0,0,1,359085,245,empleado,casado,1,hogar,Mendoza
64,masculino,0,1,1,32,1.0,0,157734.0,19559016.0,157734.0,0,0,1,0,0,0,999,empleado,casado,1,salud,Entre Ríos
32,femenino,2,0,0,1,2.0,1,350541.0,42938129.0,175270.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Buenos Aires
18,femenino,0,0,0,1,3.0,1,584909.0,48084153.0,194969.66666666663,1,0,1,1,0,0,999,desempleado,soltero,0,ninguno,Resto
19,femenino,0,1,1,12,2.0,0,550605.0,37624770.0,275302.5,1,0,1,0,0,0,999,estudiante,soltero,1,hogar,Resto
28,femenino,0,1,1,1,1.0,1,222290.0,11559080.0,222290.0,0,0,1,0,0,0,999,empleado,soltero,0,ninguno,Resto
33,masculino,2,0,1,4,3.0,0,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,empleado,casado,1,vida,Resto
36,femenino,1,1,0,2,2.0,1,192310.0,19174616.0,96155.0,1,0,0,1,0,0,999,empleado,casado,0,ninguno,Buenos Aires
20,femenino,1,0,0,0,1.0,0,216228.0,13838592.0,216228.0,1,0,0,0,0,0,999,estudiante,casado,1,salud,Entre Ríos
60,masculino,2,1,0,116,1.0,1,174606.0,21825750.0,174606.0,0,0,0,1,0,0,999,empleado,casado,1,hogar,Buenos Aires
32,femenino,2,0,0,1,2.0,1,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Mendoza
65,femenino,3,1,0,106,1.0,0,166630.0,9831170.0,166630.0,0,1,0,0,1,0,243,jubilado,casado,1,vida,Resto
48,femenino,0,1,1,112,3.0,0,522819.0,44197020.0,174273.0,0,1,1,1,0,0,999,empleado,divorciado,1,auto,Buenos Aires
28,femenino,2,1,1,1,1.0,1,222290.0,11559080.0,222290.0,0,0,1,0,0,0,999,autónomo,soltero,0,ninguno,Buenos Aires
54,femenino,1,1,1,2,1.0,1,163192.0,23336456.0,163192.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
30,femenino,2,1,0,88,3.0,0,621648.0,69252357.0,207216.0,0,1,1,1,0,0,999,empleado,casado,1,vida,Buenos Aires
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
33,masculino,1,0,1,4,3.0,1,769822.0,109955742.0,256607.3333333333,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
50,femenino,3,0,1,118,2.0,0,518882.0,46572849.0,259441.0,0,1,1,0,0,0,999,autónomo,soltero,1,auto,Buenos Aires
46,masculino,2,1,1,3,2.0,1,433248.0,49175881.0,216624.0,0,1,1,0,1,0,368,empresario,soltero,0,ninguno,Resto
29,femenino,1,0,1,5,2.0,1,322613.0,27689504.0,161306.5,1,1,0,0,1,0,314,empleado,divorciado,0,ninguno,Buenos Aires
26,masculino,0,0,0,28,1.0,0,267058.0,22699930.0,267058.0,0,0,0,1,0,0,999,empleado,divorciado,1,vida,Buenos Aires
28,femenino,2,1,1,1,1.0,0,365084.0,22270124.0,365084.0,0,0,1,0,0,0,999,empleado,soltero,1,salud,Entre Ríos
28,femenino,0,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
55,femenino,3,1,1,100,1.0,0,83751.0,9380112.0,83751.0,1,0,0,0,0,0,999,empleado,casado,1,salud,Buenos Aires
61,masculino,0,1,1,6,1.0,0,249773.0,16235245.0,249773.0,0,1,0,0,0,0,999,empleado,casado,1,auto,Tucumán
29,femenino,1,0,1,5,2.0,1,322613.0,27689504.0,161306.5,1,1,0,0,1,0,314,empleado,divorciado,0,ninguno,Buenos Aires
55,masculino,3,0,1,87,1.0,0,103149.0,15369201.0,103149.0,0,0,0,1,0,0,999,empleado,divorciado,1,auto,Córdoba
32,femenino,2,0,0,1,2.0,1,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Mendoza
41,femenino,2,1,0,1,1.0,1,209331.0,11094543.0,209331.0,0,0,1,0,0,0,999,empleado,casado,0,ninguno,Buenos Aires
28,femenino,3,1,1,1,1.0,1,222290.0,11559080.0,222290.0,0,0,1,0,0,0,999,desempleado,soltero,0,ninguno,Resto
30,masculino,0,1,1,49,1.0,0,281468.0,36872308.0,281468.0,0,0,0,1,0,0,999,desempleado,soltero,1,auto,Córdoba
35,femenino,2,0,0,85,2.0,0,278772.0,19011858.0,139386.0,1,1,0,0,0,0,999,empresario,casado,1,salud,Buenos Aires
46,masculino,3,1,1,3,2.0,1,400596.0,28495308.0,200298.0,0,1,1,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
46,masculino,2,1,1,3,2.0,1,433248.0,49175881.0,216624.0,0,1,1,0,1,0,368,empresario,soltero,0,ninguno,Resto
65,masculino,3,0,0,75,2.0,3,457873.0,43623795.0,228936.5,1,0,0,1,0,0,999,jubilado,soltero,1,vida,Entre Ríos
42,masculino,3,1,1,4,1.0,1,173097.0,17309700.0,173097.0,0,1,0,0,0,0,999,desempleado,casado,0,ninguno,Resto
37,femenino,0,1,1,55,1.0,0,281042.0,29509410.0,281042.0,0,0,0,1,0,0,999,empleado,divorciado,1,auto,Córdoba
25,masculino,1,0,1,60,1.0,0,279720.0,20419560.0,279720.0,0,0,0,1,0,0,999,empleado,divorciado,1,auto,Buenos Aires
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
30,femenino,3,0,0,5,2.0,1,315063.0,32080194.0,157531.5,1,0,0,1,0,0,999,empleado,casado,0,ninguno,Buenos Aires
64,femenino,0,1,0,9,1.0,3,163758.0,19323444.0,163758.0,1,0,0,0,0,0,999,desempleado,soltero,0,ninguno,Resto
28,femenino,1,1,1,4,2.0,0,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,1,hogar,Córdoba
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,desempleado,casado,0,ninguno,Córdoba
32,femenino,2,0,0,1,2.0,0,350541.0,42938129.0,175270.5,0,0,1,1,0,0,999,empresario,casado,1,vida,Buenos Aires
31,masculino,3,1,1,113,1.0,0,295767.0,42294681.0,295767.0,0,0,0,1,0,0,999,desempleado,casado,1,vida,Santa Fe
18,femenino,0,0,0,1,3.0,1,584909.0,48084153.0,194969.66666666663,1,0,1,1,0,0,999,desempleado,soltero,0,ninguno,Resto
29,femenino,1,0,1,5,2.0,1,322613.0,27689504.0,161306.5,1,1,0,0,1,0,314,empleado,divorciado,0,ninguno,Buenos Aires
46,masculino,2,1,1,3,2.0,1,400596.0,28495308.0,200298.0,0,1,1,0,0,0,999,empresario,soltero,0,ninguno,Mendoza
25,femenino,1,0,0,60,2.0,0,547442.0,55409753.0,273721.0,0,0,1,1,0,0,999,estudiante,soltero,1,vida,Buenos Aires
46,masculino,2,1,1,3,2.0,1,400596.0,28495308.0,200298.0,0,1,1,0,0,0,999,empresario,soltero,0,ninguno,Mendoza
63,masculino,3,1,0,47,2.0,0,389482.0,41089894.0,194741.0,1,0,0,1,0,0,999,empresario,soltero,1,hogar,Córdoba
55,femenino,0,1,1,100,1.0,0,220674.0,32439078.0,220674.0,1,0,0,0,0,0,999,desempleado,casado,1,hogar,Buenos Aires
40,masculino,1,1,1,1,1.0,1,310630.0,20501580.0,310630.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
56,masculino,0,1,1,72,1.0,0,206246.0,30936900.0,206246.0,0,0,0,1,1,731872,88,empresario,divorciado,1,hogar,Entre Ríos
52,femenino,0,1,0,77,1.0,0,209649.0,13207887.0,209649.0,0,0,1,0,1,0,291,empleado,soltero,1,salud,Resto
56,masculino,2,1,1,72,1.0,0,206246.0,30936900.0,206246.0,0,0,0,1,1,731872,88,empleado,divorciado,1,auto,Córdoba
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,desempleado,casado,0,ninguno,Córdoba
68,femenino,2,1,1,50,1.0,0,164917.0,17811036.0,164917.0,0,1,0,0,0,0,999,jubilado,soltero,1,auto,Córdoba
57,femenino,2,1,0,84,2.0,0,400330.0,41968991.0,200165.0,1,0,0,1,0,0,999,autónomo,casado,1,hogar,Buenos Aires
25,masculino,0,1,1,58,2.0,0,547799.0,61561612.0,273899.5,0,1,0,1,0,0,999,estudiante,soltero,1,auto,Buenos Aires
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
50,femenino,3,0,0,114,3.0,0,567915.0,41389925.0,189305.0,1,0,1,1,0,0,999,autónomo,casado,1,vida,Resto
28,masculino,0,1,0,96,1.0,0,111441.0,12147069.0,111441.0,1,0,0,0,0,0,999,empleado,divorciado,1,salud,Santa Fe
33,masculino,1,0,1,4,3.0,1,769822.0,109955742.0,256607.3333333333,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
44,femenino,1,0,1,15,2.0,0,511120.0,69132734.0,255560.0,0,0,1,1,0,0,999,empleado,divorciado,1,auto,Córdoba
18,femenino,0,0,0,1,3.0,1,584909.0,48084153.0,194969.66666666663,1,0,1,1,0,0,999,desempleado,soltero,0,ninguno,Resto
28,masculino,3,1,1,96,1.0,0,146276.0,14335048.0,146276.0,0,0,0,1,0,0,999,empresario,casado,1,auto,Resto
42,masculino,3,1,1,4,1.0,1,173097.0,17309700.0,173097.0,0,1,0,0,0,0,999,desempleado,casado,0,ninguno,Resto
33,femenino,3,0,0,51,2.0,2,387324.0,40329212.0,193662.0,1,0,1,0,2,0,405,desempleado,soltero,1,salud,Buenos Aires
25,femenino,0,0,0,60,2.0,0,547442.0,55409753.0,273721.0,0,0,1,1,0,0,999,estudiante,soltero,1,vida,Buenos Aires
34,femenino,2,1,0,59,1.0,0,240604.0,23819796.0,240604.0,0,0,1,0,0,0,999,empresario,divorciado,1,salud,Resto
33,femenino,2,1,0,41,3.0,0,893808.0,90319484.0,297936.0,0,1,1,1,0,0,999,empleado,divorciado,1,vida,Buenos Aires
57,masculino,0,0,1,46,3.0,0,569556.0,60931296.0,189852.0,1,1,0,1,0,0,999,empleado,casado,1,vida,Resto
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
54,femenino,3,1,1,2,1.0,1,126046.0,11848324.0,126046.0,0,1,0,0,2,0,295,empleado,soltero,0,ninguno,Buenos Aires
58,femenino,0,0,0,65,1.0,0,171906.0,23035404.0,171906.0,0,0,0,1,0,0,999,empleado,casado,1,vida,Buenos Aires
46,masculino,3,1,1,3,2.0,1,400596.0,28495308.0,200298.0,0,1,1,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
64,femenino,0,1,0,9,1.0,3,163758.0,19323444.0,163758.0,1,0,0,0,0,0,999,desempleado,soltero,0,ninguno,Resto
40,masculino,0,1,0,75,1.0,0,201704.0,15732912.0,201704.0,0,0,0,1,0,0,999,empleado,soltero,1,hogar,Buenos Aires
44,femenino,0,1,0,27,2.0,0,314901.0,32737993.0,157450.5,1,0,0,1,0,0,999,empleado,soltero,1,hogar,Buenos Aires
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,desempleado,casado,0,ninguno,Córdoba
50,masculino,3,1,1,12,1.0,0,285221.0,33656078.0,285221.0,0,0,1,0,0,0,999,empleado,casado,1,salud,Mendoza
28,masculino,0,0,0,25,1.0,1,156848.0,18037520.0,156848.0,0,0,1,0,1,0,308,autónomo,soltero,1,salud,Resto
33,femenino,1,1,0,41,3.0,2,893808.0,90319484.0,297936.0,0,1,1,1,0,0,999,autónomo,divorciado,1,vida,Buenos Aires
30,femenino,3,0,0,5,2.0,1,315063.0,32080194.0,157531.5,1,0,0,1,0,0,999,empleado,casado,0,ninguno,Buenos Aires
25,femenino,0,1,0,58,2.0,0,630297.0,59509998.0,315148.5,0,1,1,0,0,0,999,estudiante,viudo,1,salud,Mendoza
46,masculino,2,1,1,3,2.0,1,400596.0,28495308.0,200298.0,0,1,1,0,0,0,999,empresario,soltero,0,ninguno,Mendoza
26,masculino,0,0,1,56,3.0,0,891192.0,95216730.0,297064.0,0,1,1,1,1,466750,727,empleado,viudo,1,auto,Santa Fe
19,masculino,0,0,0,12,2.0,0,445075.0,41732166.0,222537.5,0,1,0,1,0,0,999,estudiante,soltero,1,vida,Tucumán
40,masculino,1,1,1,1,1.0,1,310630.0,20501580.0,310630.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
30,femenino,0,0,0,5,2.0,0,315063.0,32080194.0,157531.5,1,0,0,1,0,0,999,empleado,casado,1,vida,Córdoba
32,femenino,2,0,0,1,2.0,1,350541.0,42938129.0,175270.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Buenos Aires
26,femenino,2,0,0,35,2.0,0,540493.0,60563160.0,270246.5,0,1,1,0,1,0,557,empleado,soltero,1,salud,Santa Fe
55,masculino,0,0,1,2,2.0,0,319151.0,33722623.0,159575.5,1,0,0,1,1,0,703,empleado,soltero,1,vida,Resto
29,masculino,1,1,0,42,2.0,0,378107.0,50299181.0,189053.5,1,0,1,0,0,0,999,empleado,soltero,1,salud,Santa Fe
40,masculino,0,1,1,1,1.0,1,310630.0,20501580.0,310630.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Resto
65,femenino,1,1,0,2,2.0,1,357854.0,38992329.0,178927.0,0,1,0,1,0,0,999,jubilado,soltero,0,ninguno,Resto
64,femenino,0,1,0,9,1.0,3,163758.0,19323444.0,163758.0,1,0,0,0,0,0,999,desempleado,soltero,0,ninguno,Resto
66,femenino,1,1,0,73,2.0,0,444613.0,57597706.0,222306.5,0,0,1,1,0,0,999,jubilado,soltero,1,hogar,Buenos Aires
28,femenino,1,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
51,masculino,3,1,0,99,3.0,0,643175.0,54803070.0,214391.66666666663,0,1,1,1,0,0,999,empleado,soltero,1,vida,Buenos Aires
30,femenino,3,0,0,5,2.0,1,315063.0,32080194.0,157531.5,1,0,0,1,0,0,999,empleado,casado,0,ninguno,Buenos Aires
