
persona_id,edad,genero,preferencia_contacto,antiguedad_cliente,hijos,ocupacion,ingresos_mensuales,cantidad_polizas,suma_asegurada_total,prima_promedio,cantidad_pagos,cuotas_cumplidas,cuotas_impagas,pagos_parciales,ratio_cuotas_cumplidas,monto_promedio_pago,cantidad_siniestros,monto_promedio_siniestro,dias_desde_ultimo_siniestro,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,tiene_accidentes,tiene_mascotas,tiene_riesgos,producto_objetivo,adquirio
93,44,1,1,0.38,0,1,160885,3,860000,9652.0,65,52,7,6,0.8,768.24,2,101261.0,607,1,1,1,0,0,0,0,4,0
94,38,0,0,1.45,1,2,423017,2,400000,10179.0,50,39,5,6,0.78,825.6,1,119860.0,1181,1,0,0,0,0,0,0,2,1
95,67,0,0,0.77,3,2,267716,2,275000,10730.5,32,24,5,3,0.75,1028.48,1,12642.0,58,0,0,1,0,0,1,0,4,0
96,22,0,1,0.77,1,4,230160,2,856000,12990.5,67,53,8,6,0.79,1063.51,2,292537.0,11,0,0,0,1,1,0,0,3,0
97,45,1,1,0.14,1,3,57778,2,700000,9760.0,24,19,4,1,0.79,777.84,2,156020.5,255,1,0,0,0,0,0,0,2,1
98,63,0,1,2.26,0,5,129010,1,150000,8427.0,13,10,2,1,0.77,667.08,0,0.0,-1,1,0,0,0,0,0,0,2,0
99,49,1,1,0.6,1,2,200245,3,1146000,10451.67,63,49,5,9,0.78,790.8,1,200319.0,99,1,0,1,0,0,0,0,2,0
100,41,0,0,2.42,0,1,118158,1,470000,7688.0,25,18,4,3,0.72,652.69,0,0.0,-1,1,0,0,0,0,0,0,2,1
101,64,1,1,2.28,1,1,183366,1,135000,3145.0,13,10,2,1,0.77,172.32,1,5126.0,174,0,0,0,0,0,1,0,7,1
102,41,1,0,1.1,2,2,518986,1,460000,8699.0,22,17,3,2,0.77,706.75,0,0.0,-1,1,0,0,0,0,0,0,2,1
103,24,0,0,4.17,4,4,238726,1,130000,9973.0,8,6,1,1,0.75,868.06,1,40558.0,13,1,0,0,0,0,0,0,5,1
104,54,0,0,3.67,2,2,656839,1,320000,6145.0,13,11,1,1,0.85,559.83,0,0.0,-1,0,1,0,0,0,0,0,1,1
105,23,1,1,2.54,1,1,207450,3,1186000,11697.33,42,35,2,5,0.83,957.05,4,237594.25,163,1,0,1,1,0,0,0,5,1
106,62,1,0,1.27,1,3,51490,1,296000,5884.0,13,12,0,1,0.92,481.31,0,0.0,-1,0,1,0,0,0,0,0,1,1
107,57,1,0,1.89,2,4,149989,1,288000,5623.0,13,11,2,0,0.85,418.14,0,0.0,-1,0,1,0,0,0,0,0,5,0
108,54,0,0,3.54,0,5,107789,1,285000,13584.0,9,6,1,2,0.67,1130.77,0,0.0,-1,0,0,0,1,0,0,0,3,0
109,37,0,1,4.68,2,1,306123,2,320000,13036.5,72,54,11,7,0.75,1073.0,0,0.0,-1,1,0,1,0,0,0,0,2,1
110,42,1,1,1.76,3,4,119239,3,848000,11447.67,47,32,7,8,0.68,1027.4,3,131718.67,64,0,1,1,0,0,0,0,4,1
111,35,1,1,4.23,1,2,82460,3,743000,11008.67,72,55,10,7,0.76,849.98,0,0.0,-1,1,1,0,0,0,0,1,3,0
112,66,1,0,4.46,2,1,340072,2,684000,12885.0,38,28,2,8,0.74,1025.93,2,47679.5,1068,0,0,1,1,0,0,0,5,1
113,27,0,0,2.6,2,1,224017,1,248000,5330.0,24,19,0,5,0.79,452.8,0,0.0,-1,0,1,0,0,0,0,0,5,0
114,51,0,1,2.14,1,3,64457,3,895000,12512.67,60,50,6,4,0.83,1116.97,2,34373.5,709,1,0,0,1,0,0,0,2,1
115,45,0,1,4.99,1,1,146032,2,730000,11005.5,36,29,4,3,0.81,734.18,3,76882.67,162,1,0,0,1,0,0,0,2,0
116,45,0,0,1.38,1,1,83428,1,204000,12944.0,37,27,6,4,0.73,1083.59,0,0.0,-1,0,0,1,0,0,0,0,4,1
117,41,0,0,4.32,4,2,627812,3,524000,9913.0,45,35,4,6,0.78,769.48,1,133379.0,705,1,1,1,0,0,0,0,4,1
118,27,0,0,3.35,2,2,625183,1,168000,12234.0,29,24,3,2,0.83,1035.14,0,0.0,-1,0,0,1,0,0,0,0,5,1
119,47,0,1,0.62,0,1,119179,2,431000,6228.0,38,33,1,4,0.87,467.43,0,0.0,-1,0,1,0,0,0,1,0,4,1
120,50,0,0,2.67,2,1,254654,3,764000,7644.33,67,48,9,10,0.72,489.12,0,0.0,-1,1,0,0,0,1,0,0,2,1
121,52,1,0,1.58,1,1,82138,3,1311000,10540.33,35,28,5,2,0.8,848.93,6,136572.0,78,1,1,0,1,0,0,0,3,1
122,61,1,1,1.5,3,2,121080,2,755000,9186.0,74,59,9,6,0.8,751.12,1,125342.0,526,1,0,0,0,1,0,0,3,0
123,47,1,1,1.89,0,3,8061,3,1088000,9498.33,59,46,8,5,0.78,765.28,3,142783.0,413,1,1,0,0,0,0,0,3,1
124,63,0,1,4.07,2,1,91929,2,460000,11586.0,10,9,1,0,0.9,932.64,3,100449.0,7,1,0,0,1,0,0,0,3,0
125,37,1,0,3.03,0,1,346059,1,140000,11175.0,28,22,2,4,0.79,953.59,2,77964.5,603,1,0,0,0,0,0,0,2,1
126,52,1,0,0.69,4,4,213760,3,822000,12233.0,57,44,4,9,0.77,1030.45,1,12682.0,371,1,0,1,0,0,0,0,2,1
127,54,0,0,2.95,2,4,240245,1,240000,15643.0,25,20,2,3,0.8,1298.89,0,0.0,-1,0,0,0,1,0,0,0,3,1
128,63,0,0,1.06,4,1,337307,1,248000,5049.0,13,13,0,0,1.0,415.03,0,0.0,-1,0,1,0,0,0,0,0,4,0
129,36,0,0,3.06,3,1,219717,2,714000,9296.5,31,26,2,3,0.84,715.39,2,135769.0,82,1,1,0,0,0,0,0,3,0
130,67,1,1,3.43,0,3,47971,2,845000,12913.0,19,14,2,3,0.74,1052.92,3,97861.67,735,1,0,0,1,0,0,0,3,1
131,36,0,1,1.99,1,2,574085,1,220000,5077.0,8,5,2,1,0.62,353.94,1,156768.0,89,0,0,0,0,0,1,0,2,0
132,70,1,1,3.9,1,1,309785,1,273000,11065.0,36,28,5,3,0.78,929.57,0,0.0,-1,0,0,0,0,0,0,1,5,0
133,22,0,0,1.94,3,4,124448,2,642000,10801.0,29,23,4,2,0.79,882.34,3,254311.33,25,1,0,1,0,0,0,0,5,0
134,61,0,1,3.29,0,1,318632,2,507000,8949.5,21,19,2,0,0.9,765.17,2,113513.5,781,1,0,0,0,1,0,0,6,0
135,68,0,0,0.39,4,1,251603,2,990000,9269.5,38,27,3,8,0.71,794.75,0,0.0,-1,1,0,0,0,0,0,0,2,1
136,56,0,0,0.37,4,4,243480,1,720000,12803.0,25,18,3,4,0.72,1096.54,0,0.0,-1,0,0,0,1,0,0,0,3,0
137,47,1,1,0.96,5,2,296963,1,120000,12234.0,31,23,4,4,0.74,1029.41,0,0.0,-1,1,0,0,0,0,0,0,2,1
138,55,1,1,2.33,3,1,320043,2,1210000,12589.5,26,23,0,3,0.88,1035.27,2,229880.0,26,1,0,0,1,0,0,0,2,1
139,40,0,1,2.39,1,1,82332,2,840000,11648.5,44,37,4,3,0.84,835.9,0,0.0,-1,0,0,1,0,0,0,0,4,0
140,42,0,1,2.29,2,1,222984,3,1048000,9507.0,61,47,8,6,0.77,834.95,3,60273.33,344,1,1,0,1,0,0,0,3,1
141,38,0,1,4.04,1,1,278504,3,984000,11560.0,53,43,3,7,0.81,919.2,3,123651.0,87,0,1,1,0,0,0,1,4,0
142,54,1,0,2.38,0,3,51041,2,655000,11884.0,27,20,4,3,0.74,1049.58,3,73298.67,1038,1,0,0,1,0,0,0,2,1
143,33,0,0,3.88,2,1,96923,3,710000,9973.0,57,48,1,8,0.84,792.82,1,60867.0,516,1,0,0,0,0,0,0,2,1
144,62,0,1,2.55,4,4,44962,2,737000,8994.5,50,36,7,7,0.72,631.42,2,213858.5,1062,1,0,0,0,1,0,0,4,1
145,23,1,0,0.95,5,1,112458,2,612000,13071.5,59,49,4,6,0.83,1050.41,3,69493.0,82,0,0,1,0,0,0,0,5,0
146,41,1,0,1.94,5,4,155466,2,430000,9136.5,32,30,1,1,0.94,823.95,3,117025.67,153,1,0,0,0,0,0,0,2,0
147,65,0,1,1.7,0,1,289401,2,530000,10845.5,46,35,8,3,0.76,868.53,4,134722.5,168,1,0,0,0,0,0,0,2,0
148,41,1,1,2.85,0,1,93283,2,563000,9158.5,38,31,2,5,0.82,829.74,1,291453.0,398,0,1,0,1,0,0,0,3,0
149,53,0,0,4.53,0,1,313676,3,1086000,11606.67,87,68,12,7,0.78,1038.39,3,35940.67,608,1,0,0,0,1,0,1,2,1
150,55,0,0,1.68,4,2,598069,1,180000,10129.0,13,11,2,0,0.85,809.62,1,135355.0,930,1,0,0,0,0,0,0,2,1
151,43,1,0,4.35,3,1,120517,3,875000,8411.0,39,33,1,5,0.85,734.1,6,60164.0,537,1,0,0,0,0,1,0,2,1
152,21,1,1,0.23,0,2,661428,1,516000,13251.0,13,9,4,0,0.69,1097.8,0,0.0,-1,0,0,1,0,0,0,0,5,1
153,22,0,1,3.63,0,2,378279,1,230000,10427.0,13,10,1,2,0.77,943.7,0,0.0,-1,1,0,0,0,0,0,0,5,1
154,39,1,1,4.67,1,1,127935,1,152000,8505.0,25,21,3,1,0.84,663.05,3,69749.67,599,0,1,0,0,0,0,0,5,1
155,26,1,1,4.63,4,2,241413,3,626000,10664.33,49,38,8,3,0.78,867.93,2,100299.0,37,1,1,0,0,0,0,0,3,1
156,44,1,1,3.78,0,5,65393,3,949000,10112.0,63,49,6,8,0.78,731.9,5,174716.0,193,0,0,1,1,1,0,0,7,0
157,34,0,0,4.31,1,2,696260,2,396000,10301.0,38,31,2,5,0.82,831.53,4,73520.75,39,1,1,0,0,0,0,0,3,1
158,46,1,1,3.98,2,1,290746,3,1227000,13266.33,98,76,12,10,0.78,1121.19,5,138074.8,305,0,0,1,1,0,0,0,1,0
159,60,0,0,3.55,1,2,640297,1,390000,8581.0,14,10,1,3,0.71,727.38,3,135473.67,16,1,0,0,0,0,0,0,7,1
160,49,1,1,1.92,0,1,323361,1,384000,13800.0,13,13,0,0,1.0,1087.23,3,255332.0,806,0,0,1,0,0,0,0,4,0
161,27,1,1,0.48,1,1,259630,1,330000,12360.0,4,3,0,1,0.75,1014.85,2,149263.0,12,1,0,0,0,0,0,0,5,0
162,33,1,1,3.25,0,1,180597,1,336000,7528.0,25,21,2,2,0.84,630.01,0,0.0,-1,0,0,0,0,1,0,0,4,0
163,35,0,1,2.87,0,1,226939,1,564000,11622.0,30,21,4,5,0.7,988.75,0,0.0,-1,0,0,1,0,0,0,0,4,1
164,63,1,1,4.69,3,1,259280,2,750000,16873.0,63,52,4,7,0.83,1428.92,1,385139.0,698,0,0,0,1,0,0,0,3,1
165,54,1,0,2.91,0,1,107892,3,708000,7216.0,62,49,5,8,0.79,543.17,2,64508.0,616,1,0,1,0,0,1,0,2,1
166,33,1,1,4.85,0,4,96769,1,104000,9708.0,13,9,1,3,0.69,840.44,0,0.0,-1,0,1,0,0,0,0,0,5,1
167,64,1,0,4.35,4,4,102062,2,623000,13729.0,29,23,2,4,0.79,1018.85,0,0.0,-1,0,0,1,0,0,0,1,4,1
168,47,0,0,2.9,2,1,190823,2,1078000,14515.5,28,21,4,3,0.75,1071.04,3,234882.33,44,0,0,0,1,0,0,1,3,1
169,29,1,0,0.35,5,1,314350,2,542000,10877.0,34,27,3,4,0.79,845.84,1,25741.0,150,1,1,0,0,0,0,0,3,1
170,65,1,1,2.86,2,2,616821,2,480000,11296.0,45,33,7,5,0.73,892.26,0,0.0,-1,1,0,0,1,0,0,0,3,1
171,66,1,0,1.86,1,1,132016,3,1005000,11581.0,63,47,10,6,0.75,983.01,3,62175.0,750,0,0,0,1,0,1,0,3,1
172,37,1,1,3.62,0,4,209355,3,1180000,8522.0,73,58,8,7,0.79,742.39,1,123779.0,65,1,1,1,0,0,0,0,4,1
173,25,0,1,1.58,1,4,187092,1,450000,11608.0,25,19,2,4,0.76,944.46,1,320356.0,757,1,0,0,0,0,0,0,5,0
174,54,0,1,1.93,0,5,15949,2,516000,7586.5,40,34,2,4,0.85,550.82,1,59131.0,863,0,1,1,0,0,0,0,4,1
175,57,0,0,3.17,3,1,300677,2,488000,8356.0,31,27,1,3,0.87,621.66,2,37149.0,49,1,1,0,0,0,0,0,3,1
176,38,0,0,2.75,3,1,225763,2,780000,11821.0,18,16,1,1,0.89,843.97,3,112536.0,15,0,0,1,1,0,0,0,1,0
177,26,0,0,2.1,2,1,197149,1,570000,13801.0,25,21,3,1,0.84,1107.35,0,0.0,-1,0,0,0,1,0,0,0,3,0
178,21,0,1,0.09,0,5,131236,1,77000,4275.0,13,11,2,0,0.85,295.42,0,0.0,-1,0,0,0,0,1,0,0,2,0
179,60,1,0,0.52,1,1,142074,1,130000,8640.0,37,35,1,1,0.95,761.55,0,0.0,-1,1,0,0,0,0,0,0,3,1
180,67,1,1,0.89,4,1,197975,3,1095000,10781.33,60,44,7,9,0.73,857.08,2,58917.0,94,1,0,0,1,0,0,0,3,1
181,63,0,1,1.46,1,3,48671,2,744000,16144.5,37,27,7,3,0.73,1265.86,3,166518.67,40,0,0,1,1,0,0,0,2,0
182,27,0,1,0.18,1,1,134374,1,384000,10019.0,37,31,2,4,0.84,862.09,0,0.0,-1,0,1,0,0,0,0,0,5,0
183,42,0,0,0.27,1,5,136302,2,606000,7942.0,38,28,8,2,0.74,629.18,2,152876.5,832,0,1,0,0,1,0,0,7,1
184,50,0,0,3.98,1,1,294654,3,856000,8552.0,42,31,5,6,0.74,683.41,1,223326.0,18,0,1,1,0,0,0,0,4,1
185,53,1,0,1.25,4,2,182412,1,360000,15306.0,31,23,4,4,0.74,1340.91,0,0.0,-1,0,0,0,1,0,0,0,3,1
186,68,1,1,3.88,1,1,329606,2,755000,13580.5,16,14,1,1,0.88,978.28,0,0.0,-1,1,0,0,1,0,0,0,3,1
